client_id,birth_number,district_id,age,gender
1,706113,18,30,female
3,406009,1,60,female
4,561201,5,44,male
5,605703,5,40,female
6,190922,12,81,male
7,290125,15,71,male
8,385221,51,62,female
9,351016,60,65,male
10,430501,57,57,male
11,505822,57,50,female
12,810220,40,19,male
13,745529,54,26,female
14,425622,76,58,female
15,185828,21,82,female
16,190225,21,81,male
17,341013,76,66,male
18,315405,76,69,female
19,421228,47,58,male
20,790104,46,21,male
21,526029,12,48,female
22,696011,1,31,female
23,730529,1,27,male
24,395729,43,61,female
25,395423,21,61,female
26,695420,74,31,female
27,665326,54,34,female
28,450929,1,55,male
29,515911,30,49,female
30,576009,74,43,female
31,620209,68,38,male
32,800728,52,20,male
33,486204,73,52,female
36,785717,7,22,female
37,700810,7,30,male
38,735723,36,27,female
39,680125,68,32,male
40,575122,5,43,female
41,680827,22,32,male
42,350817,68,65,male
43,201028,75,80,male
44,775111,38,23,female
45,520826,20,48,male
46,405130,19,60,female
47,340714,76,66,male
48,400209,16,60,male
49,595511,72,41,female
50,785730,39,22,female
51,796202,36,21,female
52,241212,32,76,male
53,770505,64,23,male
55,485918,45,52,female
56,600331,21,40,male
57,616217,21,39,female
58,275429,1,73,female
59,570218,1,43,male
60,800219,67,20,male
61,485806,16,52,female
62,321208,77,68,male
63,590604,4,41,male
64,260422,20,74,male
65,435527,50,57,female
66,516110,1,49,female
67,326111,29,68,female
68,461214,43,54,male
70,251222,70,75,male
71,275206,70,73,female
72,230113,47,77,male
73,240220,22,76,male
74,255726,22,75,female
75,775919,64,23,female
76,676001,36,33,female
77,565218,1,44,female
78,445613,16,56,female
79,695310,37,31,female
80,795225,64,21,female
81,760429,8,24,male
82,796225,8,21,female
83,786225,1,22,female
84,790505,1,21,male
85,610827,1,39,male
86,695720,1,31,female
87,466117,72,54,female
89,515505,1,49,female
90,750817,52,25,male
91,400807,63,60,male
92,665612,74,34,female
93,250216,3,75,male
94,470909,43,53,male
95,525803,43,48,female
96,720229,74,28,male
97,651128,26,35,male
98,735504,33,27,female
99,730126,33,27,male
100,425811,44,58,female
101,430123,68,57,male
102,585910,74,42,female
103,550711,74,45,male
105,800526,31,20,male
106,686230,68,32,female
107,720623,1,28,male
108,630913,17,37,male
110,675413,2,33,female
112,350125,1,65,male
